Gene	ERR1797969	ERR1797970	ERR1797971	ERR1797972	ERR1797973	ERR1797974
IBPFAHIO_00001	0	1	0	0	0	0
IBPFAHIO_00003	4	3	2	3	1	2
IBPFAHIO_00004	134	146	148	134	136	134
IBPFAHIO_00006	694	880	808	1626	1593	1419
IBPFAHIO_00007	154	206	157	431	398	337
IBPFAHIO_00008	5	2	1	5	4	5
IBPFAHIO_00009	980	1101	1055	1158	1021	1028
IBPFAHIO_00010	1588	1831	1653	1476	1476	1394
IBPFAHIO_00011	55	57	67	95	86	80
IBPFAHIO_00012	87	113	131	113	133	118
IBPFAHIO_00013	11855	13740	13065	9052	9401	8654
IBPFAHIO_00014	968	1188	1009	1576	1443	1385
IBPFAHIO_00015	771	924	837	638	677	616
IBPFAHIO_00016	849	1033	938	694	679	563
IBPFAHIO_00017	1261	1477	1286	1166	985	992
IBPFAHIO_00018	6220	7575	6625	4751	4579	4058
IBPFAHIO_00019	18335	21560	19322	19386	22260	20525
IBPFAHIO_00020	5	2	5	5	5	11
IBPFAHIO_00021	64	76	75	34	28	34
IBPFAHIO_00022	0	0	0	0	0	0
IBPFAHIO_00023	3	4	5	2	15	9
IBPFAHIO_00024	168	227	171	211	269	288
IBPFAHIO_00025	6848	7001	6584	657	789	812
IBPFAHIO_00026	11	13	12	7	16	16
IBPFAHIO_00027	8370	8079	6990	1161	1330	959
IBPFAHIO_00028	1030	1178	1089	2386	2326	2099
IBPFAHIO_00029	646	788	701	692	717	736
IBPFAHIO_00030	8	12	6	7	11	8
IBPFAHIO_00031	233	277	238	111	117	113
IBPFAHIO_00032	454	534	498	169	181	146
IBPFAHIO_00033	0	1	0	0	0	1
IBPFAHIO_00034	50	59	55	42	47	36
IBPFAHIO_00035	11124	13074	11395	5343	5120	4783
IBPFAHIO_00037	220	221	215	524	531	506
IBPFAHIO_00038	2961	3024	3058	1887	2019	1755
IBPFAHIO_00039	841	1026	861	930	1158	953
IBPFAHIO_00040	210	212	223	224	223	206
IBPFAHIO_00041	923	928	892	1133	1200	1019
IBPFAHIO_00042	1812	1948	1615	262	286	274
IBPFAHIO_00043	1080	1258	1158	373	363	324
IBPFAHIO_00044	1092	1157	1222	367	241	230
IBPFAHIO_00045	37	41	44	25	20	26
IBPFAHIO_00046	2231	2448	2259	517	553	502
IBPFAHIO_00047	4845	5358	5120	1186	1164	1094
IBPFAHIO_00048	1254	1604	1531	338	404	335
IBPFAHIO_00049	1481	1926	1629	440	467	425
IBPFAHIO_00050	1910	2085	2001	461	481	377
IBPFAHIO_00051	270	290	319	82	57	72
IBPFAHIO_00052	76	99	86	31	24	21
IBPFAHIO_00053	121	130	121	49	45	29
IBPFAHIO_00054	833	848	833	340	361	286
IBPFAHIO_00055	206	246	216	92	79	79
IBPFAHIO_00056	178	223	221	74	103	86
IBPFAHIO_00057	0	0	0	0	0	0
IBPFAHIO_00058	0	0	0	0	0	0
IBPFAHIO_00059	1154	1467	1368	395	386	384
IBPFAHIO_00060	4	8	7	2	2	0
IBPFAHIO_00061	1236	1573	1513	811	934	840
IBPFAHIO_00062	1802	1943	1951	474	446	423
IBPFAHIO_00063	857	1018	825	890	856	750
IBPFAHIO_00064	62	68	55	77	73	65
IBPFAHIO_00065	66	47	54	56	45	38
IBPFAHIO_00066	62	84	84	79	94	81
IBPFAHIO_00067	101	112	123	125	106	89
IBPFAHIO_00068	354	375	364	296	291	262
IBPFAHIO_00069	212	276	258	234	292	227
IBPFAHIO_00070	182	247	259	250	258	221
IBPFAHIO_00071	663	775	729	654	671	599
IBPFAHIO_00072	13	11	19	17	14	6
IBPFAHIO_00073	64	71	100	72	121	99
IBPFAHIO_00074	7	15	13	13	15	16
IBPFAHIO_00075	71	69	95	81	89	73
IBPFAHIO_00076	131	154	137	149	122	113
IBPFAHIO_00077	186	253	269	196	177	157
IBPFAHIO_00078	284	346	324	504	327	329
IBPFAHIO_00079	54	79	73	113	79	81
IBPFAHIO_00080	477	585	568	596	584	495
IBPFAHIO_00081	0	0	0	0	0	0
IBPFAHIO_00082	0	0	0	0	0	0
IBPFAHIO_00083	0	0	0	0	0	0
IBPFAHIO_00084	7	19	21	21	24	13
IBPFAHIO_00085	14	15	15	14	6	9
IBPFAHIO_00086	10	12	12	18	8	12
IBPFAHIO_00087	22	22	19	20	16	15
IBPFAHIO_00088	160	191	161	219	252	198
IBPFAHIO_00089	3	14	9	11	25	20
IBPFAHIO_00090	0	0	0	1	0	1
IBPFAHIO_00091	19	25	18	53	58	57
IBPFAHIO_00092	7	10	6	6	8	6
