IBPFAHIO_00022	Transposase DDE domain	-
IBPFAHIO_00058	YopX protein	-
IBPFAHIO_00081	Domain of unknown function (DUF2479)	-
IBPFAHIO_00082	-	-
IBPFAHIO_00083	Domain of unknown function (DUF2479)	-
IBPFAHIO_00476	InterPro IPR002560 Transposase, IS204 IS1001 IS1096 IS1165	-
IBPFAHIO_00823	InterPro IPR002560 Transposase, IS204 IS1001 IS1096 IS1165	-
IBPFAHIO_00873	IS66 Orf2 like protein	-
IBPFAHIO_00922	Helix-turn-helix domain	-
IBPFAHIO_00924	Transposase	-
IBPFAHIO_00927	Putative phage holin Dp-1	-
IBPFAHIO_00928	-	-
IBPFAHIO_00929	Phage uncharacterised protein (Phage_XkdX)	-
IBPFAHIO_00931	Domain of unknown function (DUF2479)	-
IBPFAHIO_00932	-	-
IBPFAHIO_00933	Domain of unknown function (DUF2479)	-
IBPFAHIO_00960	-	-
IBPFAHIO_00961	-	-
IBPFAHIO_00962	Protein of unknown function (DUF1642)	-
IBPFAHIO_01006	PFAM Integrase catalytic region	-
IBPFAHIO_01057	Transposase	-
IBPFAHIO_01199	InterPro IPR002560 Transposase, IS204 IS1001 IS1096 IS1165	-
IBPFAHIO_01309	Reverse transcriptase (RNA-dependent DNA polymerase)	-
IBPFAHIO_01318	Reverse transcriptase (RNA-dependent DNA polymerase)	-
IBPFAHIO_02165	Protein of unknown function (DUF1071)	-
IBPFAHIO_02176	Protein of unknown function (DUF1642)	-
IBPFAHIO_02177	-	-
IBPFAHIO_02178	-	-
IBPFAHIO_02202	Phage uncharacterised protein (Phage_XkdX)	-
IBPFAHIO_02203	-	-
IBPFAHIO_02204	Putative phage holin Dp-1	-
IBPFAHIO_02205	Ami_2	-
IBPFAHIO_02206	Ami_2	-
IBPFAHIO_02208	Transposase	-
IBPFAHIO_02209	Integrase core domain	-
IBPFAHIO_02210	Helix-turn-helix domain	-
IBPFAHIO_02688	Reverse transcriptase (RNA-dependent DNA polymerase)	-
IBPFAHIO_02694	Reverse transcriptase (RNA-dependent DNA polymerase)	-
IBPFAHIO_02725	IS66 Orf2 like protein	-
IBPFAHIO_02746	InterPro IPR002560 Transposase, IS204 IS1001 IS1096 IS1165	-
IBPFAHIO_02862	Transposase IS116/IS110/IS902 family	-
IBPFAHIO_02925	-	-
IBPFAHIO_02953	Psort location Cytoplasmic, score	-
IBPFAHIO_02988	Transposase IS116/IS110/IS902 family	-
IBPFAHIO_03001	Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase	-
IBPFAHIO_03002	AAA-like domain	-
IBPFAHIO_03003	AAA-like domain	-
IBPFAHIO_03004	AAA-like domain	-
IBPFAHIO_03005	AAA-like domain	-
IBPFAHIO_03006	AAA-like domain	-
IBPFAHIO_03008	-	-
IBPFAHIO_03009	-	-
IBPFAHIO_03011	mechanosensitive ion channel activity	-
IBPFAHIO_03012	mechanosensitive ion channel activity	-
IBPFAHIO_03013	Primase C terminal 1 (PriCT-1)	-
IBPFAHIO_03015	Primase C terminal 1 (PriCT-1)	-
IBPFAHIO_03016	-	-
IBPFAHIO_03017	Transposase IS66 family	-
IBPFAHIO_03020	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain	ldhA
IBPFAHIO_03021	Belongs to the D-alanine--D-alanine ligase family	vanB
IBPFAHIO_03044	Transposase IS66 family	-
IBPFAHIO_03051	Transposase IS66 family	-
IBPFAHIO_03056	-	-
IBPFAHIO_03057	Transposase IS66 family	-
IBPFAHIO_03062	-	-
IBPFAHIO_03063	Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase	-
IBPFAHIO_03064	Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase	-
IBPFAHIO_03065	Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase	-
IBPFAHIO_03066	AAA-like domain	-
IBPFAHIO_03068	-	-
IBPFAHIO_03072	RNA-directed DNA polymerase (reverse transcriptase)	-
IBPFAHIO_03080	Replication initiator protein A (RepA) N-terminus	repA
IBPFAHIO_03084	-	-
IBPFAHIO_03086	-	-
IBPFAHIO_03089	-	-
IBPFAHIO_03101	-	-
IBPFAHIO_03103	-	-
IBPFAHIO_03108	Bacterial mobilisation protein (MobC)	-
IBPFAHIO_03112	Initiator Replication protein	-
IBPFAHIO_03113	-	-
IBPFAHIO_03114	-	-
IBPFAHIO_03123	Initiator Replication protein	-
IBPFAHIO_03125	-	-
