# BUSCO version is: 5.8.2 
# The lineage dataset is: enterococcaceae_odb12 (Creation date: 2025-05-14, number of genomes: 19, number of BUSCOs: 714)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
175at81852	Complete	tig00000001	236691	239336	+	1669.6	878
444at81852	Complete	tig00000001	1765801	1763507	-	1396.8	751
599at81852	Complete	tig00000001	2301261	2303270	+	1419.4	669
705at81852	Complete	tig00000001	810816	808876	-	1363.6	643
814at81852	Complete	tig00000001	172998	171193	-	1068.7	601
837at81852	Complete	tig00000001	2508070	2510427	+	1372.9	770
1249at81852	Complete	tig00000001	667596	665710	-	1079.4	621
1360at81852	Duplicated	tig00000001	1461068	1459503	-	1090.2	518
1360at81852	Duplicated	tig00000002	76096	74483	-	1086.2	510
1399at81852	Complete	tig00000001	1512030	1513712	+	1002.8	557
1424at81852	Complete	tig00000001	419709	421415	+	969.3	562
1614at81852	Complete	tig00000001	2681114	2679378	-	715.1	554
1719at81852	Fragmented	tig00000001	514071	511486	-	1214.4	846
1785at81852	Complete	tig00000001	440139	438469	-	1029.0	555
2159at81852	Complete	tig00000001	1435453	1436745	+	938.6	429
2313at81852	Complete	tig00000001	2340607	2341938	+	763.5	436
2597at81852	Complete	tig00000001	2630773	2633562	+	1170.9	859
2754at81852	Complete	tig00000001	1471847	1473013	+	776.8	388
2768at81852	Complete	tig00000001	2074230	2075525	+	901.1	428
3237at81852	Complete	tig00000001	891299	890079	-	468.1	328
3315at81852	Complete	tig00000001	448536	447187	-	845.8	445
3330at81852	Complete	tig00000001	1036234	1034942	-	822.7	427
3398at81852	Complete	tig00000001	2310515	2309406	-	775.6	367
3625at81852	Fragmented	tig00000001	1026870	1024648	-	429.7	678
3809at81852	Complete	tig00000001	959829	958513	-	441.8	409
3920at81852	Complete	tig00000001	1897135	1895939	-	727.0	384
4084at81852	Complete	tig00000001	196378	197751	+	798.1	451
4559at81852	Complete	tig00000001	1934050	1935285	+	812.0	410
4733at81852	Complete	tig00000001	548294	547170	-	395.6	360
4745at81852	Complete	tig00000001	1665251	1666330	+	703.4	357
4818at81852	Complete	tig00000001	1568936	1569937	+	665.4	329
4862at81852	Complete	tig00000001	1495114	1496052	+	669.8	312
5602at81852	Complete	tig00000001	483872	482931	-	567.7	310
5782at81852	Complete	tig00000001	195212	196267	+	641.7	340
6455at81852	Complete	tig00000001	2307318	2308202	+	561.7	290
6584at81852	Complete	tig00000001	561648	560005	-	967.3	524
6804at81852	Complete	tig00000001	2557514	2558416	+	565.0	292
6992at81852	Complete	tig00000001	1931981	1932754	+	538.7	256
7212at81852	Complete	tig00000001	108909	109721	+	483.6	257
7426at81852	Complete	tig00000001	2305987	2306763	+	497.9	255
7677at81852	Complete	tig00000001	1498406	1499203	+	515.4	263
