# BUSCO version is: 5.8.2 
# The lineage dataset is: enterococcus_odb12 (Creation date: 2025-05-14, number of genomes: 59, number of BUSCOs: 983)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
175at1350	Complete	tig00000001	236691	239336	+	1821.9	879
444at1350	Complete	tig00000001	1765801	1763507	-	1457.1	745
596at1350	Complete	tig00000001	2466955	2468853	+	980.4	636
599at1350	Complete	tig00000001	2301261	2303270	+	1450.9	663
705at1350	Complete	tig00000001	810816	808876	-	1423.7	645
814at1350	Complete	tig00000001	172998	171193	-	1121.3	601
826at1350	Complete	tig00000001	1415436	1413535	-	1370.5	631
837at1350	Complete	tig00000001	2508070	2510427	+	1519.7	783
1249at1350	Complete	tig00000001	667596	665710	-	1182.6	625
1360at1350	Duplicated	tig00000001	1461068	1459503	-	1146.5	518
1360at1350	Duplicated	tig00000002	76096	74483	-	1125.5	508
1424at1350	Complete	tig00000001	419709	421415	+	1061.9	558
1507at1350	Complete	tig00000001	2244387	2246024	+	1028.2	530
1547at1350	Complete	tig00000001	579273	577738	-	1000.7	509
1593at1350	Complete	tig00000001	555123	553351	-	1020.2	574
1614at1350	Complete	tig00000001	2681114	2679378	-	871.4	562
1719at1350	Fragmented	tig00000001	514071	511486	-	1424.2	853
1737at1350	Complete	tig00000001	2476722	2478098	+	1033.9	457
2136at1350	Complete	tig00000001	16295	17644	+	893.8	447
2159at1350	Complete	tig00000001	1435453	1436745	+	986.3	430
2257at1350	Complete	tig00000001	2234816	2236675	+	1040.3	591
2313at1350	Complete	tig00000001	2340607	2341938	+	894.1	442
2389at1350	Complete	tig00000001	683186	681783	-	724.4	457
2522at1350	Complete	tig00000001	531829	529454	-	1349.2	772
2597at1350	Complete	tig00000001	2630773	2633562	+	1507.7	916
2754at1350	Complete	tig00000001	1471847	1473013	+	855.2	388
2768at1350	Complete	tig00000001	2074230	2075525	+	951.5	429
2823at1350	Complete	tig00000001	1491672	1492967	+	900.7	431
2925at1350	Complete	tig00000001	233763	235097	+	939.7	442
2954at1350	Complete	tig00000001	830111	828876	-	838.9	411
3075at1350	Complete	tig00000001	1622811	1621636	-	796.2	386
3237at1350	Complete	tig00000001	891299	890079	-	638.0	393
3315at1350	Complete	tig00000001	448536	447187	-	908.5	447
3330at1350	Complete	tig00000001	1036234	1034942	-	897.8	428
3398at1350	Complete	tig00000001	2310515	2309406	-	805.3	368
3592at1350	Complete	tig00000001	118935	120110	+	825.7	400
3609at1350	Complete	tig00000001	2553342	2552236	-	699.5	364
3625at1350	Fragmented	tig00000001	1026870	1024648	-	615.0	703
3786at1350	Complete	tig00000001	897696	896668	-	706.3	342
3809at1350	Complete	tig00000001	959829	958513	-	582.1	423
3841at1350	Complete	tig00000001	1608341	1609462	+	659.4	371
3845at1350	Complete	tig00000001	1912837	1913958	+	845.3	373
3920at1350	Complete	tig00000001	1897135	1895939	-	798.2	390
4084at1350	Complete	tig00000001	196378	197751	+	832.4	449
4260at1350	Complete	tig00000001	589467	588343	-	732.2	371
4296at1350	Complete	tig00000001	851524	850346	-	686.1	383
4559at1350	Complete	tig00000001	1934050	1935285	+	847.8	410
4618at1350	Complete	tig00000001	2377022	2378164	+	762.8	380
4675at1350	Complete	tig00000001	2355487	2354489	-	615.9	326
4684at1350	Complete	tig00000001	1423541	1424665	+	706.2	370
4733at1350	Complete	tig00000001	548294	547170	-	507.7	372
4745at1350	Complete	tig00000001	1665251	1666330	+	766.7	358
4818at1350	Complete	tig00000001	1568936	1569937	+	698.1	329
4862at1350	Complete	tig00000001	1495114	1496052	+	706.8	312
5202at1350	Complete	tig00000001	1152973	1153929	+	697.7	316
5453at1350	Complete	tig00000001	1248717	1249964	+	765.7	413
5581at1350	Complete	tig00000001	799430	798234	-	799.1	397
5602at1350	Complete	tig00000001	483872	482931	-	595.5	310
5782at1350	Complete	tig00000001	195212	196267	+	682.4	341
5831at1350	Complete	tig00000001	651483	650578	-	569.3	297
6003at1350	Complete	tig00000001	212759	213595	+	382.1	266
6183at1350	Complete	tig00000001	802851	803660	+	479.6	268
6417at1350	Complete	tig00000001	2485522	2484713	-	484.9	269
6455at1350	Complete	tig00000001	2307318	2308202	+	595.4	292
6584at1350	Complete	tig00000001	561648	560005	-	1034.9	511
6632at1350	Complete	tig00000001	2458413	2457496	-	520.6	297
6660at1350	Complete	tig00000001	2535784	2536641	+	568.3	283
6712at1350	Complete	tig00000001	1537109	1538062	+	521.6	304
6804at1350	Complete	tig00000001	2557514	2558416	+	597.5	295
6992at1350	Complete	tig00000001	1931981	1932754	+	563.0	256
7212at1350	Complete	tig00000001	108909	109721	+	545.6	264
7426at1350	Complete	tig00000001	2305987	2306763	+	535.6	255
7474at1350	Complete	tig00000001	2396204	2397121	+	520.3	300
